date,name,value,description
2023-08-29,Albert Heijn - Omitted due to Privacy Reasons,-20.68,Albert Heijn - Omitted due to Privacy Reasons
2023-08-29,asr - Omitted due to Privacy Reasons,-5.84,asr - Omitted due to Privacy Reasons
2023-08-28,STRIPE - Omitted due to Privacy Reasons,4.39,STRIPE - Omitted due to Privacy Reasons
2023-08-28,cupp - Omitted due to Privacy Reasons,-8.04,cupp - Omitted due to Privacy Reasons
2023-08-28,Oudaen - Omitted due to Privacy Reasons,-29.56,Oudaen - Omitted due to Privacy Reasons
2023-08-28,Kookwinkel - Omitted due to Privacy Reasons,-8.02,Kookwinkel - Omitted due to Privacy Reasons
2023-08-28,kathmandu - Omitted due to Privacy Reasons,-196.66,kathmandu - Omitted due to Privacy Reasons
2023-08-28,Belastingdienst - Omitted due to Privacy Reasons,-20.37,Belastingdienst - Omitted due to Privacy Reasons
2023-08-28,openbb - Omitted due to Privacy Reasons,-381.2,openbb - Omitted due to Privacy Reasons
2023-08-28,Transfer provisie - Omitted due to Privacy Reasons,-15.73,Transfer provisie - Omitted due to Privacy Reasons
2023-08-27,thuisbezorgd - Omitted due to Privacy Reasons,-12.63,thuisbezorgd - Omitted due to Privacy Reasons
2023-08-27,blokker - Omitted due to Privacy Reasons,-11.98,blokker - Omitted due to Privacy Reasons
2023-08-27,Albert Heijn - Omitted due to Privacy Reasons,-26.45,Albert Heijn - Omitted due to Privacy Reasons
2023-08-26,Argos - Omitted due to Privacy Reasons,-53.69,Argos - Omitted due to Privacy Reasons
2023-08-26,Disney+ - Omitted due to Privacy Reasons,-3.46,Disney+ - Omitted due to Privacy Reasons
2023-08-25,Albert Heijn - Omitted due to Privacy Reasons,-7.19,Albert Heijn - Omitted due to Privacy Reasons
2023-08-25,Noordertuin - Omitted due to Privacy Reasons,-9.0,Noordertuin - Omitted due to Privacy Reasons
2023-08-25,NPO Start - Omitted due to Privacy Reasons,-2.85,NPO Start - Omitted due to Privacy Reasons
2023-08-24,Albert Heijn - Omitted due to Privacy Reasons,-28.73,Albert Heijn - Omitted due to Privacy Reasons
2023-08-24,asr - Omitted due to Privacy Reasons,-5.3,asr - Omitted due to Privacy Reasons
2023-08-24,asr - Omitted due to Privacy Reasons,4256.21,asr - Omitted due to Privacy Reasons
2023-08-24,NS GROEP - Omitted due to Privacy Reasons,-9.67,NS GROEP - Omitted due to Privacy Reasons
2023-08-24,"Vergunningen, Toezicht en Handhaving - Omitted due to Privacy Reasons",-87.28,"Vergunningen, Toezicht en Handhaving - Omitted due to Privacy Reasons"
2023-08-23,Albert Heijn - Omitted due to Privacy Reasons,-6.38,Albert Heijn - Omitted due to Privacy Reasons
2023-08-23,Klimmuur - Omitted due to Privacy Reasons,-4.01,Klimmuur - Omitted due to Privacy Reasons
2023-08-23,Spotify - Omitted due to Privacy Reasons,-3.39,Spotify - Omitted due to Privacy Reasons
2023-08-23,Youfone - Omitted due to Privacy Reasons,-18.41,Youfone - Omitted due to Privacy Reasons
2023-08-22,Albert Heijn - Omitted due to Privacy Reasons,-39.89,Albert Heijn - Omitted due to Privacy Reasons
2023-08-22,Videoland - Omitted due to Privacy Reasons,-4.61,Videoland - Omitted due to Privacy Reasons
2023-08-22,PayPal - Omitted due to Privacy Reasons,-2.17,PayPal - Omitted due to Privacy Reasons
2023-08-21,HET WAPEN VAN EMMEN - Omitted due to Privacy Reasons,-5.44,HET WAPEN VAN EMMEN - Omitted due to Privacy Reasons
2023-08-21,Wildlands - Omitted due to Privacy Reasons,-7.23,Wildlands - Omitted due to Privacy Reasons
2023-08-20,jumbo - Omitted due to Privacy Reasons,-12.96,jumbo - Omitted due to Privacy Reasons
2023-08-19,SiteDish - Omitted due to Privacy Reasons,36.46,SiteDish - Omitted due to Privacy Reasons
2023-08-19,SiteDish - Omitted due to Privacy Reasons,-41.6,SiteDish - Omitted due to Privacy Reasons
2023-08-19,TotalEnergies - Omitted due to Privacy Reasons,-63.7,TotalEnergies - Omitted due to Privacy Reasons
2023-08-18,Klimmuur - Omitted due to Privacy Reasons,-4.14,Klimmuur - Omitted due to Privacy Reasons
2023-08-18,Albert Heijn - Omitted due to Privacy Reasons,-15.76,Albert Heijn - Omitted due to Privacy Reasons
2023-08-17,Albert Heijn - Omitted due to Privacy Reasons,-15.96,Albert Heijn - Omitted due to Privacy Reasons
2023-08-17,asr - Omitted due to Privacy Reasons,-4.76,asr - Omitted due to Privacy Reasons
2023-08-17,Podimo - Omitted due to Privacy Reasons,-4.98,Podimo - Omitted due to Privacy Reasons
2023-08-15,UAB Helis - Omitted due to Privacy Reasons,-18.35,UAB Helis - Omitted due to Privacy Reasons
2023-08-15,asr - Omitted due to Privacy Reasons,-5.78,asr - Omitted due to Privacy Reasons
2023-08-14,Glencoe B.V. - Omitted due to Privacy Reasons,-305.21,Glencoe B.V. - Omitted due to Privacy Reasons
2023-08-14,Albert Heijn - Omitted due to Privacy Reasons,-33.13,Albert Heijn - Omitted due to Privacy Reasons
2023-08-14,Run2Day - Omitted due to Privacy Reasons,-119.31,Run2Day - Omitted due to Privacy Reasons
2023-08-14,GEMEENTE ZWOLLE - Omitted due to Privacy Reasons,-5.23,GEMEENTE ZWOLLE - Omitted due to Privacy Reasons
2023-08-13,betaalverzoek - Omitted due to Privacy Reasons,39.85,betaalverzoek - Omitted due to Privacy Reasons
2023-08-13,betaalverzoek - Omitted due to Privacy Reasons,-44.32,betaalverzoek - Omitted due to Privacy Reasons
2023-08-13,La Cubanita - Omitted due to Privacy Reasons,-94.31,La Cubanita - Omitted due to Privacy Reasons
2023-08-13,jumbo - Omitted due to Privacy Reasons,-14.24,jumbo - Omitted due to Privacy Reasons
2023-08-13,Albert Heijn - Omitted due to Privacy Reasons,-10.71,Albert Heijn - Omitted due to Privacy Reasons
2023-08-13,Pathe - Omitted due to Privacy Reasons,-9.09,Pathe - Omitted due to Privacy Reasons
2023-08-13,GroenGras Conceptmakers - Omitted due to Privacy Reasons,-213.68,GroenGras Conceptmakers - Omitted due to Privacy Reasons
2023-08-12,Netflix - Omitted due to Privacy Reasons,3.59,Netflix - Omitted due to Privacy Reasons
2023-08-10,Albert Heijn - Omitted due to Privacy Reasons,-17.19,Albert Heijn - Omitted due to Privacy Reasons
2023-08-09,theater - Omitted due to Privacy Reasons,-22.78,theater - Omitted due to Privacy Reasons
2023-08-09,amazon - Omitted due to Privacy Reasons,-2.8,amazon - Omitted due to Privacy Reasons
2023-08-09,OranjePakket - Omitted due to Privacy Reasons,-3.0,OranjePakket - Omitted due to Privacy Reasons
2023-08-08,Albert Heijn - Omitted due to Privacy Reasons,-20.91,Albert Heijn - Omitted due to Privacy Reasons
2023-08-08,Netflix - Omitted due to Privacy Reasons,-22.18,Netflix - Omitted due to Privacy Reasons
2023-08-07,AH to go - Omitted due to Privacy Reasons,-2.3,AH to go - Omitted due to Privacy Reasons
2023-08-07,cafe - Omitted due to Privacy Reasons,-16.9,cafe - Omitted due to Privacy Reasons
2023-08-07,,53.47,
2023-08-07,creditcard - Omitted due to Privacy Reasons,-415.59,creditcard - Omitted due to Privacy Reasons
2023-08-07,bol.com - Omitted due to Privacy Reasons,-145.15,bol.com - Omitted due to Privacy Reasons
2023-08-06,Burgerme - Omitted due to Privacy Reasons,-19.54,Burgerme - Omitted due to Privacy Reasons
2023-08-06,t Stegelke Slenaken - Omitted due to Privacy Reasons,-77.06,t Stegelke Slenaken - Omitted due to Privacy Reasons
2023-08-05,restaurant - Omitted due to Privacy Reasons,-78.32,restaurant - Omitted due to Privacy Reasons
2023-08-05,Casa - Omitted due to Privacy Reasons,-26.79,Casa - Omitted due to Privacy Reasons
2023-08-05,Tango - Omitted due to Privacy Reasons,-57.04,Tango - Omitted due to Privacy Reasons
2023-08-04,bar - Omitted due to Privacy Reasons,-42.07,bar - Omitted due to Privacy Reasons
2023-08-04,Albert Heijn - Omitted due to Privacy Reasons,-28.81,Albert Heijn - Omitted due to Privacy Reasons
2023-08-04,Swapfiets - Omitted due to Privacy Reasons,-65.04,Swapfiets - Omitted due to Privacy Reasons
2023-08-03,asr - Omitted due to Privacy Reasons,-7.21,asr - Omitted due to Privacy Reasons
2023-08-02,Eazie - Omitted due to Privacy Reasons,-13.3,Eazie - Omitted due to Privacy Reasons
2023-08-01,asr - Omitted due to Privacy Reasons,-4.95,asr - Omitted due to Privacy Reasons
2023-08-01,Klimmuur - Omitted due to Privacy Reasons,-118.07,Klimmuur - Omitted due to Privacy Reasons
2023-08-01,Nationale Nederlanden - Omitted due to Privacy Reasons,-119.07,Nationale Nederlanden - Omitted due to Privacy Reasons
2023-08-01,Pontiac - Omitted due to Privacy Reasons,-1678.47,Pontiac - Omitted due to Privacy Reasons
2023-08-01,inShared - Omitted due to Privacy Reasons,-32.22,inShared - Omitted due to Privacy Reasons
2023-07-31,Albert Heijn - Omitted due to Privacy Reasons,-46.21,Albert Heijn - Omitted due to Privacy Reasons
2023-07-30,VB Utrecht Nachtegaa - Omitted due to Privacy Reasons,-3.86,VB Utrecht Nachtegaa - Omitted due to Privacy Reasons
2023-07-30,bever - Omitted due to Privacy Reasons,-248.58,bever - Omitted due to Privacy Reasons
2023-07-30,VB Utrecht Nachtegaa - Omitted due to Privacy Reasons,-3.81,VB Utrecht Nachtegaa - Omitted due to Privacy Reasons
2023-07-30,Albert Heijn - Omitted due to Privacy Reasons,-10.48,Albert Heijn - Omitted due to Privacy Reasons
2023-07-29,De Parade - Omitted due to Privacy Reasons,-6.1,De Parade - Omitted due to Privacy Reasons
2023-07-29,De Parade - Omitted due to Privacy Reasons,-9.45,De Parade - Omitted due to Privacy Reasons
2023-07-29,Venezia - Omitted due to Privacy Reasons,-6.31,Venezia - Omitted due to Privacy Reasons
2023-07-29,De Parade - Omitted due to Privacy Reasons,-12.08,De Parade - Omitted due to Privacy Reasons
2023-07-29,spaarrekening - Omitted due to Privacy Reasons,-961.57,spaarrekening - Omitted due to Privacy Reasons
2023-07-28,Gall & Gall - Omitted due to Privacy Reasons,-1.04,Gall & Gall - Omitted due to Privacy Reasons
2023-07-28,Gall & Gall - Omitted due to Privacy Reasons,-37.43,Gall & Gall - Omitted due to Privacy Reasons
2023-07-28,betaalverzoek - Omitted due to Privacy Reasons,114.46,betaalverzoek - Omitted due to Privacy Reasons
2023-07-28,booking - Omitted due to Privacy Reasons,-140.66,booking - Omitted due to Privacy Reasons
2023-07-28,booking - Omitted due to Privacy Reasons,-83.87,booking - Omitted due to Privacy Reasons
2023-07-27,asr - Omitted due to Privacy Reasons,-3.32,asr - Omitted due to Privacy Reasons
2023-07-27,Sevilla - Omitted due to Privacy Reasons,-87.56,Sevilla - Omitted due to Privacy Reasons
2023-07-27,Belastingdienst - Omitted due to Privacy Reasons,-19.42,Belastingdienst - Omitted due to Privacy Reasons
2023-07-26,Albert Heijn - Omitted due to Privacy Reasons,-20.0,Albert Heijn - Omitted due to Privacy Reasons
2023-07-26,cafe - Omitted due to Privacy Reasons,-77.52,cafe - Omitted due to Privacy Reasons
2023-07-26,betaalverzoek - Omitted due to Privacy Reasons,62.34,betaalverzoek - Omitted due to Privacy Reasons
2023-07-26,Disney+ - Omitted due to Privacy Reasons,-3.43,Disney+ - Omitted due to Privacy Reasons
2023-07-26,NS GROEP - Omitted due to Privacy Reasons,-25.89,NS GROEP - Omitted due to Privacy Reasons
2023-07-26,Wereld Natuur Fonds - Omitted due to Privacy Reasons,-20.4,Wereld Natuur Fonds - Omitted due to Privacy Reasons
2023-07-26,NPO Start - Omitted due to Privacy Reasons,-3.1,NPO Start - Omitted due to Privacy Reasons
2023-07-25,cafe - Omitted due to Privacy Reasons,28.61,cafe - Omitted due to Privacy Reasons
2023-07-25,betaalverzoek - Omitted due to Privacy Reasons,4.67,betaalverzoek - Omitted due to Privacy Reasons
2023-07-25,betaalverzoek - Omitted due to Privacy Reasons,13.81,betaalverzoek - Omitted due to Privacy Reasons
2023-07-25,,70.25,
2023-07-25,WietBetaaltWat - Omitted due to Privacy Reasons,40.4,WietBetaaltWat - Omitted due to Privacy Reasons
2023-07-24,betaalverzoek - Omitted due to Privacy Reasons,41.38,betaalverzoek - Omitted due to Privacy Reasons
2023-07-24,Netflix - Omitted due to Privacy Reasons,8.25,Netflix - Omitted due to Privacy Reasons
2023-07-24,M EN M 0 BABBERICH - Omitted due to Privacy Reasons,-2.99,M EN M 0 BABBERICH - Omitted due to Privacy Reasons
2023-07-24,Albert Heijn - Omitted due to Privacy Reasons,-10.01,Albert Heijn - Omitted due to Privacy Reasons
2023-07-24,asr - Omitted due to Privacy Reasons,4233.01,asr - Omitted due to Privacy Reasons
2023-07-24,PayPal - Omitted due to Privacy Reasons,-2.01,PayPal - Omitted due to Privacy Reasons
2023-07-24,Youfone - Omitted due to Privacy Reasons,-38.27,Youfone - Omitted due to Privacy Reasons
2023-07-23,AVATARZ - Omitted due to Privacy Reasons,-11.77,AVATARZ - Omitted due to Privacy Reasons
2023-07-23,Landal - Omitted due to Privacy Reasons,-57.62,Landal - Omitted due to Privacy Reasons
2023-07-23,Spotify - Omitted due to Privacy Reasons,-3.4,Spotify - Omitted due to Privacy Reasons
2023-07-22,Albert Heijn - Omitted due to Privacy Reasons,-2.68,Albert Heijn - Omitted due to Privacy Reasons
2023-07-22,lidl - Omitted due to Privacy Reasons,-162.79,lidl - Omitted due to Privacy Reasons
2023-07-22,Hema - Omitted due to Privacy Reasons,-6.18,Hema - Omitted due to Privacy Reasons
2023-07-22,Mitra - Omitted due to Privacy Reasons,-46.31,Mitra - Omitted due to Privacy Reasons
2023-07-21,spaarrekening - Omitted due to Privacy Reasons,1094.28,spaarrekening - Omitted due to Privacy Reasons
2023-07-21,Albert Heijn - Omitted due to Privacy Reasons,-27.09,Albert Heijn - Omitted due to Privacy Reasons
2023-07-21,jumbo - Omitted due to Privacy Reasons,-4.81,jumbo - Omitted due to Privacy Reasons
2023-07-20,betaalverzoek - Omitted due to Privacy Reasons,-24.4,betaalverzoek - Omitted due to Privacy Reasons
2023-07-20,bol.com - Omitted due to Privacy Reasons,-83.67,bol.com - Omitted due to Privacy Reasons
2023-07-18,Videoland - Omitted due to Privacy Reasons,-4.92,Videoland - Omitted due to Privacy Reasons
2023-07-18,asr - Omitted due to Privacy Reasons,-6.13,asr - Omitted due to Privacy Reasons
2023-07-18,PayPal - Omitted due to Privacy Reasons,-13.68,PayPal - Omitted due to Privacy Reasons
2023-07-18,Podimo - Omitted due to Privacy Reasons,-4.57,Podimo - Omitted due to Privacy Reasons
2023-07-17,amazon - Omitted due to Privacy Reasons,12.04,amazon - Omitted due to Privacy Reasons
2023-07-17,ijs - Omitted due to Privacy Reasons,-7.07,ijs - Omitted due to Privacy Reasons
2023-07-16,,-55.8,
2023-07-16,Dominos - Omitted due to Privacy Reasons,-18.0,Dominos - Omitted due to Privacy Reasons
2023-07-16,Picnic - Omitted due to Privacy Reasons,-37.12,Picnic - Omitted due to Privacy Reasons
2023-07-15,Decathlon - Omitted due to Privacy Reasons,-19.67,Decathlon - Omitted due to Privacy Reasons
2023-07-15,Gall & Gall - Omitted due to Privacy Reasons,-20.27,Gall & Gall - Omitted due to Privacy Reasons
2023-07-15,Hema - Omitted due to Privacy Reasons,-29.52,Hema - Omitted due to Privacy Reasons
2023-07-15,ROBIER UTRECHT - Omitted due to Privacy Reasons,-5.58,ROBIER UTRECHT - Omitted due to Privacy Reasons
2023-07-15,Albert Heijn - Omitted due to Privacy Reasons,-41.02,Albert Heijn - Omitted due to Privacy Reasons
2023-07-15,theater - Omitted due to Privacy Reasons,-22.32,theater - Omitted due to Privacy Reasons
2023-07-15,betaalverzoek - Omitted due to Privacy Reasons,209.1,betaalverzoek - Omitted due to Privacy Reasons
2023-07-14,De Zakkendrager - Omitted due to Privacy Reasons,-119.25,De Zakkendrager - Omitted due to Privacy Reasons
2023-07-14,betaalverzoek - Omitted due to Privacy Reasons,225.0,betaalverzoek - Omitted due to Privacy Reasons
2023-07-14,betaalverzoek - Omitted due to Privacy Reasons,217.57,betaalverzoek - Omitted due to Privacy Reasons
2023-07-13,booking - Omitted due to Privacy Reasons,-921.93,booking - Omitted due to Privacy Reasons
2023-07-13,asr - Omitted due to Privacy Reasons,-5.42,asr - Omitted due to Privacy Reasons
2023-07-13,Netflix - Omitted due to Privacy Reasons,-15.91,Netflix - Omitted due to Privacy Reasons
2023-07-12,Albert Heijn - Omitted due to Privacy Reasons,-21.74,Albert Heijn - Omitted due to Privacy Reasons
2023-07-12,Netflix - Omitted due to Privacy Reasons,3.46,Netflix - Omitted due to Privacy Reasons
2023-07-12,Netflix - Omitted due to Privacy Reasons,3.35,Netflix - Omitted due to Privacy Reasons
2023-07-11,amazon - Omitted due to Privacy Reasons,-11.71,amazon - Omitted due to Privacy Reasons
2023-07-10,Tango - Omitted due to Privacy Reasons,-54.96,Tango - Omitted due to Privacy Reasons
2023-07-10,amazon - Omitted due to Privacy Reasons,-2.87,amazon - Omitted due to Privacy Reasons
2023-07-09,ijs - Omitted due to Privacy Reasons,-21.52,ijs - Omitted due to Privacy Reasons
2023-07-09,cafe - Omitted due to Privacy Reasons,-4.18,cafe - Omitted due to Privacy Reasons
2023-07-09,Albert Heijn - Omitted due to Privacy Reasons,-32.35,Albert Heijn - Omitted due to Privacy Reasons
2023-07-09,OranjePakket - Omitted due to Privacy Reasons,-2.98,OranjePakket - Omitted due to Privacy Reasons
2023-07-08,Henschotermeer - Omitted due to Privacy Reasons,-14.09,Henschotermeer - Omitted due to Privacy Reasons
2023-07-08,eethuis - Omitted due to Privacy Reasons,-7.88,eethuis - Omitted due to Privacy Reasons
2023-07-08,Henschotermeer - Omitted due to Privacy Reasons,-7.24,Henschotermeer - Omitted due to Privacy Reasons
2023-07-08,cafe - Omitted due to Privacy Reasons,-2.61,cafe - Omitted due to Privacy Reasons
2023-07-07,cafe - Omitted due to Privacy Reasons,-10.83,cafe - Omitted due to Privacy Reasons
2023-07-07,Albert Heijn - Omitted due to Privacy Reasons,-41.65,Albert Heijn - Omitted due to Privacy Reasons
2023-07-07,Muziekpaleis - Omitted due to Privacy Reasons,-60.49,Muziekpaleis - Omitted due to Privacy Reasons
2023-07-07,tikkie - Omitted due to Privacy Reasons,-31.81,tikkie - Omitted due to Privacy Reasons
2023-07-07,park - Omitted due to Privacy Reasons,-15.83,park - Omitted due to Privacy Reasons
2023-07-06,asr - Omitted due to Privacy Reasons,-5.33,asr - Omitted due to Privacy Reasons
2023-07-06,,53.12,
2023-07-06,Swapfiets - Omitted due to Privacy Reasons,-63.63,Swapfiets - Omitted due to Privacy Reasons
2023-07-05,,107.48,
2023-07-05,Eazie - Omitted due to Privacy Reasons,-23.5,Eazie - Omitted due to Privacy Reasons
2023-07-05,creditcard - Omitted due to Privacy Reasons,-359.33,creditcard - Omitted due to Privacy Reasons
2023-07-04,asr - Omitted due to Privacy Reasons,-4.27,asr - Omitted due to Privacy Reasons
2023-07-03,spaarrekening - Omitted due to Privacy Reasons,0.07,spaarrekening - Omitted due to Privacy Reasons
2023-07-03,spaarrekening - Omitted due to Privacy Reasons,7.2,spaarrekening - Omitted due to Privacy Reasons
2023-07-03,,-7.52,
2023-07-03,Pontiac - Omitted due to Privacy Reasons,-1552.41,Pontiac - Omitted due to Privacy Reasons
2023-07-03,Nationale Nederlanden - Omitted due to Privacy Reasons,-101.25,Nationale Nederlanden - Omitted due to Privacy Reasons
2023-07-02,Picnic - Omitted due to Privacy Reasons,-46.64,Picnic - Omitted due to Privacy Reasons
2023-07-02,OK Utrecht - Omitted due to Privacy Reasons,-57.22,OK Utrecht - Omitted due to Privacy Reasons
2023-07-02,Sondrio de Luca - Omitted due to Privacy Reasons,-36.62,Sondrio de Luca - Omitted due to Privacy Reasons
2023-07-02,Gall & Gall - Omitted due to Privacy Reasons,-26.84,Gall & Gall - Omitted due to Privacy Reasons
2023-07-01,geldopname - Omitted due to Privacy Reasons,-48.37,geldopname - Omitted due to Privacy Reasons
2023-06-30,,-26.84,
2023-06-30,flatexbank - Omitted due to Privacy Reasons,-1016.73,flatexbank - Omitted due to Privacy Reasons
2023-06-30,jumbo - Omitted due to Privacy Reasons,-30.59,jumbo - Omitted due to Privacy Reasons
2023-06-30,blokker - Omitted due to Privacy Reasons,-12.51,blokker - Omitted due to Privacy Reasons
2023-06-30,betaalverzoek - Omitted due to Privacy Reasons,278.94,betaalverzoek - Omitted due to Privacy Reasons
2023-06-30,amazon - Omitted due to Privacy Reasons,-17.02,amazon - Omitted due to Privacy Reasons
2023-06-30,inShared - Omitted due to Privacy Reasons,-51.49,inShared - Omitted due to Privacy Reasons
2023-06-29,Albert Heijn - Omitted due to Privacy Reasons,-19.62,Albert Heijn - Omitted due to Privacy Reasons
2023-06-28,Wereld Natuur Fonds - Omitted due to Privacy Reasons,-22.91,Wereld Natuur Fonds - Omitted due to Privacy Reasons
2023-06-27,restaurant - Omitted due to Privacy Reasons,-8.47,restaurant - Omitted due to Privacy Reasons
2023-06-27,Carwash - Omitted due to Privacy Reasons,-16.76,Carwash - Omitted due to Privacy Reasons
2023-06-27,jumbo - Omitted due to Privacy Reasons,-28.66,jumbo - Omitted due to Privacy Reasons
2023-06-27,Belastingdienst - Omitted due to Privacy Reasons,-22.06,Belastingdienst - Omitted due to Privacy Reasons
2023-06-27,NPO Start - Omitted due to Privacy Reasons,-3.17,NPO Start - Omitted due to Privacy Reasons
2023-06-26,GEL Koers - Omitted due to Privacy Reasons,-145.96,GEL Koers - Omitted due to Privacy Reasons
2023-06-26,Carrefour - Omitted due to Privacy Reasons,-20.6,Carrefour - Omitted due to Privacy Reasons
2023-06-26,STRIPE - Omitted due to Privacy Reasons,21.6,STRIPE - Omitted due to Privacy Reasons
2023-06-26,Disney+ - Omitted due to Privacy Reasons,-3.95,Disney+ - Omitted due to Privacy Reasons
2023-06-25,GEL Koers - Omitted due to Privacy Reasons,-49.57,GEL Koers - Omitted due to Privacy Reasons
2023-06-25,GEL Koers - Omitted due to Privacy Reasons,-13.09,GEL Koers - Omitted due to Privacy Reasons
2023-06-24,GEL Koers - Omitted due to Privacy Reasons,-49.3,GEL Koers - Omitted due to Privacy Reasons
2023-06-23,GEL Koers - Omitted due to Privacy Reasons,-38.62,GEL Koers - Omitted due to Privacy Reasons
2023-06-23,spaarrekening - Omitted due to Privacy Reasons,-3111.69,spaarrekening - Omitted due to Privacy Reasons
2023-06-23,Spotify - Omitted due to Privacy Reasons,-3.43,Spotify - Omitted due to Privacy Reasons
2023-06-23,NS GROEP - Omitted due to Privacy Reasons,-20.6,NS GROEP - Omitted due to Privacy Reasons
2023-06-22,restaurant - Omitted due to Privacy Reasons,-7.01,restaurant - Omitted due to Privacy Reasons
2023-06-22,restaurant - Omitted due to Privacy Reasons,-15.6,restaurant - Omitted due to Privacy Reasons
2023-06-22,GEL Koers - Omitted due to Privacy Reasons,-69.22,GEL Koers - Omitted due to Privacy Reasons
2023-06-22,GEL Koers - Omitted due to Privacy Reasons,-85.68,GEL Koers - Omitted due to Privacy Reasons
2023-06-22,GEL Koers - Omitted due to Privacy Reasons,-30.0,GEL Koers - Omitted due to Privacy Reasons
2023-06-22,asr - Omitted due to Privacy Reasons,3991.85,asr - Omitted due to Privacy Reasons
2023-06-22,Youfone - Omitted due to Privacy Reasons,-20.0,Youfone - Omitted due to Privacy Reasons
2023-06-22,PayPal - Omitted due to Privacy Reasons,-1.94,PayPal - Omitted due to Privacy Reasons
2023-06-21,GEL Koers - Omitted due to Privacy Reasons,-13.4,GEL Koers - Omitted due to Privacy Reasons
2023-06-21,GEL Koers - Omitted due to Privacy Reasons,-5.64,GEL Koers - Omitted due to Privacy Reasons
