Day of Year,Name,Code,Volume,Price,Currency,Transaction Costs,,Total,,Order ID
26/07/2021,ISHARES MSCI WOR A,IE00B4L5Y983,4,71.53,EUR,,EUR,-286.12,EUR,58d5f6cb-4b2e-4990-9349-3cb354e573d8
26/07/2021,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,3,20.88,EUR,,EUR,-62.64,EUR,c5dfa9cc-c73e-4444-9105-c467c43c6e0f
26/07/2021,VANGUARD FTSE AW,IE00B3RBWM25,4,101,EUR,,EUR,-404,EUR,4fa86192-f002-4a4d-9f86-8bf456c37565
26/07/2021,VANGUARD S&P500,IE00B3XXRP09,4,70.759,EUR,,EUR,-283.04,EUR,945c336f-626c-479e-ab5f-687650fca583
24/06/2021,MULTI NASDAQ 100,LU1829221024,1,47.63,EUR,,EUR,-47.63,EUR,06e2d4dd-6bdb-4984-824c-49dc837cf16c
24/06/2021,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,4,20.23,EUR,,EUR,-80.92,EUR,1029780b-20bc-4563-aaa0-62514d71f7ab
24/06/2021,VANGUARD FTSE AW,IE00B3RBWM25,6,98.94,EUR,,EUR,-593.64,EUR,c71b77a3-a112-4036-8459-367f329fdcef
24/06/2021,ISHARES MSCI WOR A,IE00B4L5Y983,4,69.31,EUR,,EUR,-277.24,EUR,ff08875c-5d97-428c-8323-0aa76bd4f3b7
26/05/2021,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,30,19.15,EUR,,EUR,-574.5,EUR,5d676545-29cf-4856-9e86-690861277e1a
26/05/2021,ISHARES MSCI WOR A,IE00B4L5Y983,4,66.725,EUR,,EUR,-266.9,EUR,4a3abcbb-4c42-4d7b-9cd9-fcb57979702f
26/05/2021,VANGUARD FTSE AW,IE00B3RBWM25,31,95.83,EUR,,EUR,-2970.73,EUR,badbb413-811f-4493-a3b5-894fcf5bccd9
26/05/2021,MULTI NASDAQ 100,LU1829221024,1,44.399,EUR,,EUR,-44.4,EUR,f5561095-5e14-4df2-b949-1aee4c0fe9d5
26/05/2021,ISHARES MSCI WOR A,IE00B4L5Y983,2,66.725,EUR,,EUR,-133.45,EUR,4a3abcbb-4c42-4d7b-9cd9-fcb57979702f
26/05/2021,VANGUARD S&P500,IE00B3XXRP09,-46,65.154,EUR,,EUR,2997.08,EUR,ea1bf690-7122-49ae-819e-5ff121470577
26/04/2021,VANECK VIDEO GAMING AND ESPORTS UCITS ETF,IE00BYWQWR46,4,35.88,EUR,,EUR,-143.52,EUR,0fb18ad5-9ff3-4c54-87ac-ccaba1530ac4
26/04/2021,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,7,19.47,EUR,,EUR,-136.29,EUR,c0ecf8cb-6fb8-4338-8610-e5b53b92aff6
26/04/2021,VANGUARD FTSE AW,IE00B3RBWM25,7,96,EUR,,EUR,-672,EUR,86ba7008-b803-40f9-ad54-aa2f43d71d86
26/04/2021,ISHARES MSCI WOR A,IE00B4L5Y983,1,66.8,EUR,,EUR,-66.8,EUR,3e134c11-61c4-47f6-a936-da80ad4effdb
26/03/2021,VANGUARD FTSE AW,IE00B3RBWM25,9,93.3,EUR,,EUR,-839.7,EUR,8bd9717b-4d52-4c63-a816-7d922947dad0
26/02/2021,VANGUARD S&P500,IE00B3XXRP09,1,60.023,EUR,,EUR,-60.02,EUR,f45b2f9b-ac46-4204-89d0-d6014ecc6a09
26/02/2021,VANGUARD FTSE AW,IE00B3RBWM25,3,89.66,EUR,,EUR,-268.98,EUR,c0ed9ec1-50ca-40fc-9290-2701cc8d320d
26/02/2021,VANGUARD FTSE AW,IE00B3RBWM25,3,89.66,EUR,,EUR,-268.98,EUR,c0ed9ec1-50ca-40fc-9290-2701cc8d320d
26/02/2021,MULTI NASDAQ 100,LU1829221024,2,41.959,EUR,,EUR,-83.92,EUR,69a671b5-70aa-4dad-b118-e694eaef5246
26/02/2021,ISHARES MSCI WOR A,IE00B4L5Y983,5,61.84,EUR,,EUR,-309.2,EUR,e236c0b3-5304-435c-b895-6fed8aaf6c75
26/01/2021,MULTI NASDAQ 100,LU1829221024,2,43.9,EUR,,EUR,-87.8,EUR,c2a69f8a-f4e5-426a-8e29-404a00a63e0e
26/01/2021,ISHARES MSCI WOR A,IE00B4L5Y983,18,62.05,EUR,,EUR,-1116.9,EUR,64b0dfb1-47c5-4ba1-afb9-f9b3843c4e7f
22/12/2020,ISHARES MSCI WOR A,IE00B4L5Y983,1,59.09,EUR,,EUR,-59.09,EUR,42d9c160-707b-4685-9818-ecdba451ed33
22/12/2020,VANGUARD S&P500,IE00B3XXRP09,13,57.39,EUR,,EUR,-746.07,EUR,4163a374-b09c-49b6-887a-411553c05ff3
26/11/2020,MULTI NASDAQ 100,LU1829221024,9,40.53,EUR,,EUR,-364.77,EUR,b8650e38-73e5-4ff2-9174-43bba3e27b5e
26/11/2020,VANGUARD S&P500,IE00B3XXRP09,11,57.939,EUR,,EUR,-637.33,EUR,035cb51e-36d7-444c-8853-e6c5af33f543
26/10/2020,MULTI NASDAQ 100,LU1829221024,1,39.059,EUR,-4.02,EUR,-43.08,EUR,cdb52174-2cd0-47dc-be1f-3a5e6139aa3a
26/10/2020,MULTI NASDAQ 100,LU1829221024,4,39.03,EUR,,EUR,-156.12,EUR,55bc7f76-47e1-4d32-a860-db387b4153c0
26/10/2020,VANGUARD S&P500,IE00B3XXRP09,15,55.077,EUR,,EUR,-826.16,EUR,7c560b19-bdd5-4399-b5b3-bf120f5cb28e
15/09/2020,VANGUARD S&P500,IE00B3XXRP09,11,54.5,EUR,,EUR,-599.5,EUR,faf7c4a0-0b67-4512-a03f-91791d070322
04/09/2020,MULTI NASDAQ 100,LU1829221024,10,39.5,EUR,,EUR,-395,EUR,da7799cd-fec2-4a27-a0f2-15c3b43fdc3c
18/08/2020,VANGUARD S&P500,IE00B3XXRP09,14,53.83,EUR,,EUR,-753.62,EUR,b68545ae-a189-424f-8a4c-d1d7bcf9367a
14/07/2020,VANGUARD S&P500,IE00B3XXRP09,5,52.54,EUR,,EUR,-262.7,EUR,5875b37e-deec-4f7c-b8df-28cdb2e0983d
14/07/2020,MULTI NASDAQ 100,LU1829221024,20,36.4,EUR,,EUR,-728,EUR,7e88097c-bd68-4414-9a79-7298ce83ca83
11/06/2020,VANGUARD S&P500,IE00B3XXRP09,10,51.71,EUR,,EUR,-517.1,EUR,0e705c72-7ce1-44aa-90dc-6caedaf5d54c
11/03/2020,ISHARES MSCI WOR A,IE00B4L5Y983,10,47.815,EUR,-2.14,EUR,-480.29,EUR,f75cf64f-2385-4666-8b5f-fb01aa122fad
05/03/2020,ISHARES MSCI WOR A,IE00B4L5Y983,4,53.75,EUR,,EUR,-215,EUR,2cd36d65-7b57-468a-b633-ebf1cb9dc64c
04/02/2020,ISHARES MSCI WOR A,IE00B4L5Y983,6,57.45,EUR,,EUR,-344.7,EUR,19b468aa-25d0-4900-9a72-c1cca2221624
04/02/2020,VANGUARD S&P500,IE00B3XXRP09,2,56.27,EUR,,EUR,-112.54,EUR,8afbaad7-0a19-4560-84cc-09a3a8060e78
15/01/2020,ISHARES MSCI WOR A,IE00B4L5Y983,5,57.61,EUR,,EUR,-288.05,EUR,ae419397-aafe-4be5-a8bb-006c96e47026
15/01/2020,VANGUARD S&P500,IE00B3XXRP09,4,56.081,EUR,,EUR,-224.32,EUR,9685e10d-4c03-4815-b6d4-21b602669731
